municipio,alto_risco_mvi_next
BODOCO,0.2564102564102564
PEDRA,0.25471698113207547
ITAPISSUMA,0.2543352601156069
OLINDA,0.25296442687747034
SURUBIM,0.25274725274725274
JUCATI,0.25
PAULISTA,0.2450592885375494
JABOATAO DOS GUARARAPES,0.2450592885375494
PASSIRA,0.24175824175824176
RECIFE,0.233201581027668
